starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	6
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	6
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	5	5	10	5
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	10	8
Thu Nov 18 23:56:39 2021	1637250999	4	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	10	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	2	9	10	8
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	10	8
Thu Nov 18 23:56:39 2021	1637250999	4	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	4	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	6
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	4	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	4	7	10	6
Thu Nov 18 23:56:39 2021	1637250999	2	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	6
Thu Nov 18 23:56:39 2021	1637250999	2	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	3	7	11	6
Thu Nov 18 23:56:39 2021	1637250999	3	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	2	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	2	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	8
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	1	10	11	10
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	6
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	6
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	5	6	11	6
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	1	10	11	10
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	11	6
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	5	6	11	6
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	4	6	11	6
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	7
Thu Nov 18 23:56:39 2021	1637250999	5	6	11	6
Thu Nov 18 23:56:39 2021	1637250999	2	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	6
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	1	10	11	10
Thu Nov 18 23:56:39 2021	1637250999	2	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	5	6	11	6
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	4	7	11	7
Thu Nov 18 23:56:39 2021	1637250999	3	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	4	8	11	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	8	11	8
Thu Nov 18 23:56:39 2021	1637250999	3	9	11	8
Thu Nov 18 23:56:39 2021	1637250999	1	10	11	10
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	1	10	11	10
Thu Nov 18 23:56:39 2021	1637250999	2	10	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	1	11	11	11
Thu Nov 18 23:56:39 2021	1637250999	2	9	11	9
Thu Nov 18 23:56:39 2021	1637250999	3	8	12	8
Thu Nov 18 23:56:39 2021	1637250999	1	10	12	10
Thu Nov 18 23:56:39 2021	1637250999	3	9	12	9
Thu Nov 18 23:56:39 2021	1637250999	4	8	12	8
Thu Nov 18 23:56:39 2021	1637250999	2	10	12	9
Thu Nov 18 23:56:39 2021	1637250999	3	9	12	9
Thu Nov 18 23:56:39 2021	1637250999	3	9	12	9
Thu Nov 18 23:56:39 2021	1637250999	3	9	12	9
Thu Nov 18 23:56:39 2021	1637250999	1	10	12	10
Thu Nov 18 23:56:39 2021	1637250999	1	11	12	10
Thu Nov 18 23:56:39 2021	1637250999	2	9	12	9
Thu Nov 18 23:56:39 2021	1637250999	2	9	12	9
Thu Nov 18 23:56:39 2021	1637250999	3	9	12	9
