starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 18 23:55:26 2021	1637250926	2	12	14	12
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	1	14	14	13
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	1	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	1	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	3	12	14	12
Thu Nov 18 23:55:26 2021	1637250926	0	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	3	12	15	12
Thu Nov 18 23:55:26 2021	1637250926	2	12	15	12
Thu Nov 18 23:55:26 2021	1637250926	1	13	15	13
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	0	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	0	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	3	12	15	12
Thu Nov 18 23:55:26 2021	1637250926	2	13	15	13
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	1	13	15	13
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	13
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	13
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	2	13	15	13
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	2	13	15	13
Thu Nov 18 23:55:26 2021	1637250926	0	15	15	15
Thu Nov 18 23:55:26 2021	1637250926	2	14	15	13
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	13
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	14
